CHILDID,P1LEARN,P2LEARN,P4LEARN,T1LEARN,T2LEARN,T4LEARN,T5LEARN,T6LEARN,P1SRS10,P1SRS13,P1SRS15,P1SRS18,P1SRS22,P1SRS24,P2SRS10,P2SRS13,P2SRS15,P2SRS18,P2SRS22,P2SRS24,P4SRS10,P4SRS13,P4SRS15,P4SRS18,P4SRS22,P4SRS24,T1SRS11,T1SRS14,T1SRS15,T1SRS21,T1SRS23,T1SRS24,T2SRS11,T2SRS14,T2SRS15,T2SRS21,T2SRS23,T2SRS24,T4SRS11,T4SRS14,T4SRS15,T4SRS21,T4SRS23,T4SRS24,T5SRS11,T5SRS14,T5SRS15,T5SRS21,T5SRS23,T5SRS24,T5SRS26,G6SRS11,G6SRS14,G6SRS15,G6SRS21,G6SRS23,G6SRS24,G6SRS26
1211012C,3.17,3,2.83,3.17,3.17,2.83,2.57,2.86,3,4,3,2,4,3,3,3,3,2,4,3,3,4,2,2,4,2,3,3,3,3,3,4,2,4,4,4,2,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3,3
1211013C,3.33,3.33,3,2.5,3,3.5,2.29,1.71,3,4,2,3,4,4,3,4,2,3,4,4,3,4,2,3,3,3,2,2,3,2,3,3,3,4,3,2,3,3,4,4,4,3,3,3,1,2,3,3,2,2,3,1,2,2,1,2,2,2
1211014C,3.67,3.67,3.33,2.17,3.5,3.17,3.43,2.86,4,4,3,3,4,4,4,4,4,3,4,3,4,4,3,2,4,3,2,3,2,2,2,2,2,4,4,3,4,4,2,4,4,2,4,3,3,4,4,4,4,3,2,4,3,2,3,4,2,2
1211015C,2.5,2.5,2.83,2.17,2.67,3.33,3,,2,4,2,2,2,3,2,3,2,2,3,3,3,3,3,2,4,2,2,2,3,2,2,2,2,4,2,2,3,3,3,4,3,3,4,3,3,4,3,4,3,2,2,,,,,,,
1211016C,3.5,3.5,3.5,2.33,3,3.6,2.43,2.57,3,4,4,2,4,4,4,4,3,2,4,4,4,4,3,2,4,4,2,3,3,2,2,2,3,4,3,2,3,3,3,4,4,3,,4,2,3,3,2,3,2,2,2,3,2,3,3,2,3
1211017C,3.67,3.33,,2.5,3,3.5,3.43,3.14,4,4,4,3,4,3,4,4,3,2,4,3,,,,,,,3,3,3,2,2,2,2,3,4,3,3,3,4,4,4,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,3
1211018C,2.5,3,3.5,2.17,2.67,3.33,3.86,2.71,3,2,2,3,3,2,3,3,4,3,2,3,4,2,4,4,4,3,3,2,2,2,2,2,2,3,3,3,3,2,2,4,3,4,4,3,3,4,4,4,4,4,4,2,3,2,3,3,3,3
1211019C,2.33,3.83,3.67,2,2.33,3,1.57,3,2,3,2,1,3,3,4,4,3,4,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,2,1,2,2,1,1,2,2,3,3,3,3,3,4
1211020C,2.5,2.83,3.17,2,3,3.5,3.43,3.14,2,3,2,2,3,3,2,3,3,3,3,3,3,4,3,2,4,3,2,2,2,2,2,2,2,3,2,4,4,3,3,4,3,4,4,3,3,4,2,4,4,3,4,4,3,3,3,3,3,3
1211021C,,2,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211022C,4,3.83,3.67,2.33,,3.33,3.43,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,2,2,2,3,3,2,,,,,,,3,4,4,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3
1211023C,3.33,3.67,3.33,2.17,2.83,3,3.14,2.29,3,4,3,2,4,4,4,4,4,2,4,4,4,4,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,1,4,3,4,4,2,1,4,4,4,3,3,3,2,2,2,3,3,2,2
1211024C,3.17,3.17,2.83,2.17,3.17,2.83,2.86,2.29,3,3,3,3,4,3,3,4,3,2,4,3,3,3,3,2,3,3,2,2,2,2,2,3,2,4,4,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,4,2,2,2,3,3,2,2
1212001C,2.67,,3,4,4,3.5,2.43,3.57,3,3,3,2,2,3,,,,,,,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,2,3,3,2,2,2,3,3,4,4,3,4,3,4
1212002C,2.33,2.67,2.67,3.67,4,3.5,2.71,3.43,2,3,2,1,3,3,2,3,2,3,3,3,3,2,2,3,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,2,3,2,3,4,4,4,3,4
1212003C,4,4,,4,4,2.83,2.29,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3
1212004C,2.67,2.5,3.5,3.83,3.17,3.33,2.86,,4,2,3,2,2,3,3,2,2,2,3,3,4,4,4,2,3,4,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,4,2,2,2,3,3,4,4,,,,,,,
1212005C,3.67,3.17,2.83,3.67,3.67,3.67,3.86,3.29,4,4,4,2,4,4,3,4,3,3,3,3,2,3,3,3,3,3,3,4,4,3,4,4,3,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,3,3,4
1212006C,2.83,2.67,,4,4,3.67,4,4,3,3,2,3,3,3,2,3,2,3,3,3,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1212007C,2.5,3,2.5,3.83,3.83,4,3.71,4,3,3,2,1,3,3,3,4,2,2,4,3,2,3,2,2,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4
1212008C,3,3.33,3,4,4,3.17,2.43,3.29,2,4,2,4,3,3,4,4,2,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,3,4,2,2,3,2,3,3,2,3,3,4,3,3,3,4
1212009C,3.67,3.67,3.83,4,4,3.5,4,3.86,4,4,2,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
1212010C,3.5,3.5,3.67,3.83,3.83,3.67,3.86,3.71,4,3,3,3,4,4,4,4,4,2,3,4,4,4,4,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3
1212011C,3.83,3.67,2.5,3.67,3.5,3,2.29,2.29,4,3,4,4,4,4,3,4,3,4,4,4,3,2,2,2,2,4,3,4,3,4,4,4,3,4,4,3,4,3,2,4,3,3,3,3,1,2,3,2,3,2,3,1,2,3,2,3,2,3
1212012C,3.83,3.67,3.67,4,4,3.67,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1212013C,3.33,3.83,3.33,3.67,3.83,3.83,3.14,3.14,3,3,3,3,4,4,4,4,4,3,4,4,3,4,3,2,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,3,4,3,4,3,3,1,3,4,4,4,3,3
1212014C,3.83,3,3,3.17,3.83,3,2.14,2.71,4,4,4,3,4,4,3,4,2,2,4,3,3,4,2,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,2,4,3,3,3,3,2,2,2,2,3,2,2,1,3,3,3,3,3,3
1212015C,3.5,3.17,3.33,3.17,4,3.5,4,3,4,4,3,2,4,4,2,4,2,3,4,4,4,4,2,2,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
1212016C,3.5,3.5,3.67,3.17,3.67,3.5,3,3.57,4,4,3,4,3,3,4,4,4,2,4,3,4,4,4,4,4,2,2,4,3,3,4,3,3,4,4,3,4,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,4
1212017C,3.5,3.17,3.33,3.5,3.83,3.33,3.43,3.86,4,4,4,2,4,3,4,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,4,3,4,4,4,4,4,3,4,3,3,3,4,3,4,3,3,3,4,4,4,3,4,4,4,4,4
1212018C,4,3.67,3.83,3.17,3.67,3.17,3.71,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,3,3,2,3,4,4,3,4,4,3,4,4,3,3,3,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4
1212019C,3.67,4,4,3.67,3.83,2.67,3.29,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,2,3,2,3,3,3,3,2,3,4,3,4,4,3,3,3,3,3,2,4
1212020C,2.83,3.33,2.67,3.5,4,2.67,2.29,2.86,3,3,2,2,4,3,3,4,3,3,4,3,2,4,2,2,4,2,3,4,3,4,3,4,4,4,4,4,4,4,2,4,3,2,2,3,2,3,2,2,2,2,3,3,4,2,3,3,2,3
1212021C,3.67,3.67,3.67,4,4,3.17,3.29,3.14,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,3,4,2,4,4,2,3,4,4,2,3,3,4,3,3,4
1212022C,2.67,3,2.83,2.5,3.67,2.83,4,3.29,3,3,2,2,3,3,4,4,2,2,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3,4,4,3,4,4,3,3,3,2,3,3,4,4,4,4,4,4,4,4,3,2,3,4,3,4
1212023C,3.5,3,3.83,3.67,4,3.33,2.86,2.86,3,3,4,3,4,4,2,4,2,2,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,4,3,3,3,2,3,2,3,3,3,3,3,3
1212024C,3.67,3.5,3.33,3.67,3.67,2.83,2.29,3.14,4,4,4,2,4,4,4,4,4,2,3,4,3,4,4,2,3,4,4,3,4,4,4,3,4,3,3,4,4,4,2,3,3,3,3,3,2,3,2,2,2,2,3,3,3,4,3,3,3,3
1213001C,,3.17,2.17,2.5,2.17,2.5,,,,,,,,,4,4,2,1,4,4,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,4,2,3,2,2,,,,,,,,,,,,,,
1213002C,,3.17,2.33,2.33,3.33,3,3,,,,,,,,1,4,2,4,4,4,2,3,2,1,2,4,2,3,2,2,3,2,3,4,3,3,4,3,2,3,3,4,3,3,3,4,2,3,3,3,3,,,,,,,
1213003C,2.33,2.83,2.5,2,2.5,,,3.43,4,2,2,1,2,3,4,3,3,2,2,3,2,4,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,,,,,,,,,,,,,,3,3,4,4,3,3,4
1213004C,,3.83,3.83,3.5,3.83,4,3.71,3.86,,,,,,,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4
1213005C,2.67,3.33,3.5,2,2.17,,1.71,1.29,2,3,2,2,4,3,3,4,3,4,3,3,4,4,4,2,4,3,2,2,2,2,2,2,2,3,2,2,2,2,,,,,,,2,2,1,2,2,1,2,1,1,1,2,1,1,2
1213006C,2.67,3.17,2.67,2.17,2.5,1.33,2.43,2,2,4,1,3,4,2,3,4,2,2,4,4,2,3,2,4,3,2,2,1,3,3,2,2,2,2,3,3,3,2,1,1,1,2,1,2,2,2,3,4,2,2,2,2,2,2,2,2,2,
1213007C,3.67,3.67,3.67,3.33,3,3.83,3.29,3,4,4,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,4,3,4,3,4,3,3,3,2,3,3,3,3,3,4
1213008C,,3,2.33,2.5,4,3.83,3.14,4,,,,,,,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,3,2,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,3,3,3,4,4,4,4,4,4,4,4
1213009C,3,2.83,2.83,2.67,1.83,3.17,2.86,2.86,4,3,2,4,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,2,2,2,1,2,3,3,3,4,3,3,3,2,3,3,2,3,4,3,2,3,4,2,2,4
1213010C,2.67,2.83,4,2.17,2.5,3,2.14,3.29,3,3,2,2,3,3,4,4,4,2,1,2,4,4,4,4,4,4,2,2,2,3,2,2,1,3,3,2,3,3,2,3,4,2,4,3,2,2,3,2,2,2,2,4,3,3,3,3,3,4
1213011C,,3,3.33,3,2.5,3.67,3,,,,,,,,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,3,4,3,2,2,3,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,,,,,,,
1213012C,3.67,3.67,2.33,3,2.83,2.33,3.14,2.57,2,4,4,4,4,4,4,4,4,4,3,3,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,2,2,2,4,2,4,4,4,2,1,4,3,3,2,3,2
1213013C,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
1213015C,3.33,3.17,3,3.5,3.67,3.83,3.29,3.14,3,4,2,3,4,4,4,3,3,3,4,2,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,4,3,3,3
1213016C,2.67,3.17,2.67,3.83,3.83,,3.14,4,2,3,3,2,4,2,4,4,3,2,4,2,3,2,2,2,4,3,4,4,4,4,4,3,4,4,4,4,4,3,,,,,,,3,3,4,3,3,3,3,4,4,4,4,4,4,4
1213017C,3.67,3,2.5,3.67,3.67,,,,2,4,4,4,4,4,2,2,4,2,4,4,3,2,3,2,3,2,3,3,4,4,4,4,4,3,3,4,4,4,,,,,,,,,,,,,,,,,,,,
1213018C,3.17,2.67,3.17,1.33,,2,1.86,,2,2,4,3,4,4,4,2,1,3,2,4,4,4,3,4,2,2,1,1,2,2,1,1,,,,,,,1,2,2,,2,3,2,2,2,2,1,2,2,,,,,,,
1213019C,3,3.17,3,4,3.8,,3.14,3.57,3,4,1,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,,4,4,4,4,4,,4,4,3,4,4,,,,,,,3,4,3,3,3,3,3,4,3,3,3,4,4,4
1213020C,2.5,3.33,3,2,3,,1.71,1.57,2,2,2,2,4,3,4,4,3,2,4,3,3,3,2,3,4,3,,2,2,2,2,2,,3,3,3,3,3,,,,,,,1,2,2,2,1,2,2,3,1,1,2,1,1,2
1213021C,2.17,3.17,,3,3.2,3.17,,,3,2,2,1,3,2,4,3,2,2,4,4,,,,,,,,3,3,3,3,3,,4,3,3,3,3,4,3,4,2,3,3,,,,,,,,,,,,,,
1213022C,2.83,2.83,2.33,3.6,3.8,3.33,3.29,3,2,3,2,3,3,4,3,4,2,2,4,2,2,3,2,2,2,3,,4,3,4,3,4,,4,4,3,4,4,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,3,4,2,2,4
1213023C,,,2.67,2.8,3,,,,,,,,,,,,,,,,3,3,3,2,3,2,,3,3,2,3,3,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
1213024C,2.5,3.33,2.17,3,2.2,,1.71,1.29,3,2,2,2,2,4,4,4,2,2,4,4,2,3,3,1,2,2,,3,3,3,3,3,,2,2,3,2,2,,,,,,,1,2,2,2,1,2,2,1,1,1,2,1,1,2
1215001C,,2.83,,3,,,,,,,,,,,3,3,3,2,3,3,,,,,,,2,1,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1215002C,,1.83,,3.17,,,,,,,,,,,3,3,1,1,2,1,,,,,,,3,3,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1215003C,,1.17,,1,,,,,,,,,,,1,2,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
1215004C,2.5,2,2.5,3.5,3.83,3.67,4,3.86,3,3,3,3,2,1,3,,2,2,1,,2,3,2,3,3,2,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
1215005C,2.5,3.33,,3.33,3.33,3.17,,,3,3,2,2,3,2,4,4,2,2,4,4,,,,,,,3,4,4,3,3,3,4,4,4,3,2,3,4,3,3,3,3,3,,,,,,,,,,,,,,
1215006C,3,,2.33,3.5,4,3.5,4,3.86,3,2,3,3,4,3,,,,3,4,,2,2,2,3,3,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
1215007C,,2.67,2.5,3.5,3,3,3,3.71,,,,,,,2,3,3,3,3,2,2,2,3,2,3,3,3,4,4,3,3,4,3,3,3,3,3,3,4,3,4,2,3,2,4,3,3,2,4,2,3,4,4,4,4,3,3,4
1215008C,3,2.83,3,3.5,3,,3.57,2.43,3,4,1,4,4,2,3,3,3,2,3,3,3,3,3,2,3,4,4,3,4,3,4,3,3,3,3,3,3,3,,,,,,,3,4,4,4,4,3,3,2,3,2,3,2,2,3
1215009C,3.33,,2.33,3.67,3.33,,3.71,3.86,4,4,3,3,3,3,,,,,,,2,2,2,3,2,3,3,4,4,4,4,3,3,3,4,3,3,4,,,,,,,4,4,4,3,4,3,4,4,4,4,3,4,4,4
1215010C,,,2.33,3.33,2.67,3.17,1.86,,,,,,,,,,,,,,2,2,2,3,3,2,3,4,4,3,4,2,2,3,4,3,2,2,3,3,3,4,3,3,1,3,2,2,1,2,2,,,,,,,
1215011C,2.33,,3,3.17,3.33,3.67,3.86,3.57,2,2,2,3,3,2,,,,,,,3,3,3,3,3,3,2,3,4,4,4,2,3,4,4,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,4
1215012C,2.33,,2,3.83,3.33,3.17,3,,2,3,2,2,3,2,,,,,,,2,2,2,2,2,2,4,4,4,4,4,3,3,3,4,3,4,3,3,3,4,3,3,3,4,4,3,2,3,2,3,,,,,,,
1215013C,,,,3.33,3.5,3.83,3.86,3.29,,,,,,,,,,,,,,,,,,,4,2,4,4,4,2,4,2,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4
1215014C,3,,2.83,4,4,3.67,,,3,3,3,3,3,3,,,,,,,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,,,,,,,,,,,,,,
1215015C,,,,3,3.33,3,3.14,1.86,,,,,,,,,,,,,,,,,,,4,2,3,4,3,2,4,3,3,3,4,3,2,3,3,3,3,4,3,4,2,3,3,4,3,2,2,1,2,2,2,2
1215016C,,2.67,,2.67,2.5,,,,,,,,,,3,2,3,2,3,3,,,,,,,2,4,2,3,2,3,1,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,
1215017C,3,,,2.33,2.17,,,,3,3,3,4,3,2,,,,,,,,,,,,,3,2,2,2,2,3,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,
1215018C,2.83,2.33,3.83,2.17,2.5,3.67,,,3,3,3,2,3,3,2,2,2,3,2,3,4,4,4,3,4,4,3,2,2,2,2,2,2,3,3,2,3,2,4,4,3,4,3,4,,,,,,,,,,,,,,
1215019C,3.17,,,2.2,,,,,3,3,2,4,4,3,,,,,,,,,,,,,2,,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1215020C,,2.33,1.83,2.5,2.33,2,2,2.29,,,,,,,2,2,2,2,3,3,1,2,1,3,2,2,2,4,2,3,2,2,2,3,3,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
1215021C,1.83,2.33,2.33,,2.33,2.17,2,2.43,2,2,1,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,,,,,,,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2
1215022C,3.33,3.17,3.33,1.83,3.67,,2,,3,3,3,3,4,4,2,4,2,3,4,4,4,3,3,3,4,3,1,2,2,2,2,2,3,4,4,3,4,4,,,,,,,2,2,2,2,2,2,2,,,,,,,
1215023C,2.67,2.33,,2,3,,,,2,2,2,3,4,3,3,2,2,3,2,2,,,,,,,2,2,2,2,2,2,4,4,2,4,2,2,,,,,,,,,,,,,,,,,,,,
1215024C,2.67,3,,3.67,4,,,,3,3,2,2,3,3,3,3,3,3,3,3,,,,,,,3,4,4,4,4,3,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
1215025C,1.83,2.67,2.5,,3.67,3.67,4,3.86,1,2,1,3,3,1,4,3,2,2,3,2,2,3,2,3,3,2,,,,,,,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
1216001C,3.33,3.5,3.17,3.83,3.67,4,,3.67,4,4,2,2,4,4,4,4,4,3,3,3,4,4,2,3,3,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,,,,,,,,4,,4,3,4,3,4
1216002C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216003C,,2.2,3.17,3.5,3.83,3.8,4,3.86,,,,,,,3,2,2,2,2,,4,4,3,2,3,3,3,3,4,3,4,4,4,4,4,3,4,4,4,,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
1216004C,2,2,2.67,1.5,1.33,1.67,,1.57,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,,,,,,,,2,1,1,2,1,1,3
1216005C,2.33,2.67,2.83,1.83,2.5,2.67,,2.43,2,2,3,2,3,2,2,3,2,3,3,3,2,4,3,1,3,4,1,2,2,2,2,2,2,4,2,2,3,2,3,3,3,3,2,2,,,,,,,,3,2,2,4,2,2,2
1216006C,,3.17,,1,1,,,,,,,,,,2,4,3,2,4,4,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1216007C,3.17,3.83,3,3.83,3.67,4,,,4,3,4,3,3,2,4,3,4,4,4,4,4,4,3,2,3,2,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
1216008C,,,,,3.83,4,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,4,4,4,4,4,4,4,4,,,,,,,,4,4,4,3,4,4,4
1216009C,,,,3.5,3.33,3,2.83,2,,,,,,,,,,,,,,,,,,,3,4,3,4,4,3,3,4,4,3,4,2,3,3,3,3,3,3,3,3,2,3,,3,3,2,2,2,2,2,2,2
1216010C,2.67,,,3.33,3.5,,,,2,3,2,4,3,2,,,,,,,,,,,,,3,4,4,3,4,2,3,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,
1216011C,,,2.67,2.83,3.67,3.67,,,,,,,,,,,,,,,2,3,2,3,3,3,2,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,4,4,,,,,,,,,,,,,,
1216012C,3,3.5,3,3,2.83,3.5,,,2,4,3,3,3,3,3,4,2,4,4,4,2,4,2,2,4,4,2,3,3,3,3,4,3,3,3,3,2,3,3,4,4,3,3,4,,,,,,,,,,,,,,
1216013C,2.83,2.83,,2.33,2.5,3.33,,,3,3,2,3,4,2,3,2,2,3,3,4,,,,,,,2,2,2,2,3,3,3,2,2,3,3,2,3,4,4,3,3,3,,,,,,,,,,,,,,
1216014C,2.17,2.83,2.83,2,2.33,3.33,,3.43,2,2,2,2,3,2,3,3,3,3,3,2,3,2,3,2,4,3,2,2,2,2,2,2,3,3,2,2,2,2,4,4,3,4,3,2,,,,,,,,3,4,3,3,4,3,4
1216016C,2.33,2.33,2.83,3.17,2.33,3.5,,3,3,3,1,2,3,2,2,2,2,2,4,2,4,2,2,3,4,2,3,4,3,2,3,4,2,3,2,2,2,3,4,3,4,3,3,4,,,,,,,,3,3,3,3,2,3,4
1216017C,2,2.5,2.5,2.2,4,3.5,,2.86,2,2,2,2,2,2,2,2,1,4,4,2,2,3,2,2,2,4,2,2,2,,2,3,4,4,4,4,4,4,4,3,4,2,4,4,,,,,,,,3,3,3,3,3,2,3
1216018C,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,2,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1216019C,3,2.5,3.67,3.17,2.83,4,,3.14,3,3,3,3,3,3,3,2,2,3,2,3,4,3,3,4,4,4,4,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,,,,,,,,3,3,3,3,3,3,4
1216020C,2.33,3.83,2.33,3.33,3,3.33,,3.57,2,3,3,2,2,2,4,4,4,4,3,4,3,2,2,2,3,2,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,,,,,,,,3,4,4,3,4,3,4
1216022C,3,3.67,,2.17,2.33,,,1.57,3,4,2,3,3,3,4,4,3,3,4,4,,,,,,,2,2,2,3,2,2,2,3,2,3,2,2,,,,,,,,,,,,,,1,2,2,2,1,1,2
1216023C,3.5,2.5,3,3,2.33,2.33,,,4,4,4,4,1,4,2,2,2,3,3,3,3,3,3,3,3,3,2,4,4,3,3,2,2,2,2,3,2,3,3,3,2,2,2,2,,,,,,,,,,,,,,
1216024C,2.67,2.5,2.83,2.8,3,2.83,2.71,2.14,3,2,3,2,3,3,4,2,2,2,2,3,4,3,3,2,3,2,2,3,3,3,,3,2,3,3,4,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,1,2,2,3,3,2,2
1217001C,2.67,3.83,3.83,3.33,3.17,,,,3,3,2,2,3,3,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,2,4,4,3,3,4,2,4,3,,,,,,,,,,,,,,,,,,,,
1217002C,2.5,2.83,,2.4,2.33,,,,2,3,2,2,3,3,2,3,4,2,3,3,,,,,,,2,,2,3,3,2,2,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,
1217003C,2,3,2.33,,3.67,4,4,4,2,2,2,2,2,2,4,2,2,2,4,4,3,3,2,2,2,2,,,,,,,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1217004C,,3,,,,2.83,,,,,,,,,3,4,3,2,4,2,,,,,,,,,,,,,,,,,,,3,3,2,3,3,3,,,,,,,,,,,,,,
1217005C,2.83,,,,3.5,,,,4,4,2,2,2,3,,,,,,,,,,,,,,,,,,,4,4,4,2,3,4,,,,,,,,,,,,,,,,,,,,
1217006C,3,3,3,3.67,3.17,3.33,,3.57,4,4,3,2,3,2,3,3,2,3,3,4,4,3,3,3,3,2,4,4,4,3,3,4,3,4,3,3,3,3,3,4,4,3,3,3,,,,,,,,4,4,4,4,1,4,4
1217007C,3.17,3.17,,,4,2.5,,,4,4,2,3,4,2,3,3,3,3,3,4,,,,,,,,,,,,,4,4,4,4,4,4,2,3,3,2,3,2,,,,,,,,,,,,,,
1217009C,3.17,,,,,,,,3,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217010C,,,3,,2.5,2.67,2.14,2,,,,,,,,,,,,,3,4,3,2,3,3,,,3,,,,3,2,3,2,2,3,3,3,3,2,2,3,2,4,2,2,1,2,2,2,3,2,2,1,2,2
